number,dutch,english,part_of_speech,category,example_dutch,example_english
135,effect,effect,noun,result,"Dit medicijn heeft een positief effect","This medicine has a positive ..."
136,ei,egg,noun,food,"Ik eet een ei bij het ontbijt","I eat an egg at breakfast"
137,eigenlijk,actually,adverb,reality,"Eigenlijk wil ik niet gaan","Actually I do not want to go"
138,eiland,island,noun,geography,"Een eiland is land omringd door water","An ... is land surrounded by water"
139,eind,end,noun,conclusion,"Het eind van het verhaal","The ... of the story"
140,eindeloos,endless,adjective,duration,"Een eindeloze weg lijkt nooit te stoppen","An ... road seems to never stop"
141,eindigen,to end,verb,conclusion,"Het verhaal eindigt goed met een happy ending","The story ... well with a happy ending"
142,elk,each,adjective,quantity,"Elk kind krijgt een cadeau","... child gets a present"
143,emotie,emotion,noun,feeling,"Liefde en angst zijn sterke emoties","Love and fear are strong ..."
144,emotioneel,emotional,adjective,feeling,"Het is een emotioneel moment vol tranen","It is an ... moment full of tears"
145,en,and,conjunction,grammar,"Ik hou van koffie en thee beide","I like coffee ... tea both"
146,energie,energy,noun,power,"Ik heb veel energie na een goede nachtrust","I have much ... after a good night's sleep"
147,engels,English,adjective,language,"Engels is de taal van Engeland en Amerika","... is the language of England and America"
148,enorm,enormous,adjective,size,"Dit huis is enorm groot en breed","This house is ... big and wide"
149,er,there,adverb,location,"Er is niemand thuis","... is nobody home"
150,er,there,particle,grammar,"Er zijn veel mensen hier","... are many people here"
151,eten,to eat,verb,consumption,"Ik eet een appel","I eat an apple"
152,eten,food,noun,nutrition,"Het eten is klaar","The food is ready"
153,even,just,particle,brevity,"Wacht even, ik kom zo","Wait ..., I'm coming"
154,examen,exam,noun,education,"Ik heb morgen een examen","I have an exam tomorrow"
155,experiment,experiment,noun,science,"Een wetenschappelijk experiment test een hypothese","A scientific ... tests a hypothesis"
156,fabriek,factory,noun,industry,"Een fabriek produceert goederen en producten","A ... produces goods and products"
157,factor,factor,noun,element,"Prijs is een belangrijke factor bij kopen","Price is an important ... when buying"
158,familie,family,noun,relationships,"Mijn vader, moeder en broer zijn mijn familie","My father, mother and brother are my ..."
159,fase,phase,noun,stage,"Een nieuwe fase is een stadium in een proces","A new ... is a stage in a process"
160,feit,fact,noun,truth,"Dat is een feit","That is a ..."
161,figuur,figure,noun,shape,"Een driehoek is een geometrische figuur","A triangle is a geometric ..."
162,film,movie,noun,entertainment,"We kijken een film in de bioscoop","We watch a ... in the cinema"
163,financieel,financial,adjective,money,"Een financieel probleem gaat over geld en schulden","A ... problem is about money and debts"
164,formuleren,to formulate,verb,expression,"Ik moet een vraag duidelijk formuleren met woorden","I must ... a question clearly with words"
165,foto,photo,noun,media,"Ik maak een foto met mijn camera","I take a ... with my camera"
166,fruit,fruit,noun,food,"Fruit zoals appels en bananen zijn gezond","... like apples and bananas are healthy"
167,functie,function,noun,purpose,"Wat is de functie van dit gereedschap?","What is the ... of this tool?"
168,fundamenteel,fundamental,adjective,basis,"Een fundamenteel probleem is een basis kwestie","A ... problem is a basic issue"
169,gaan,to go,verb,movement,"Ik ga van Amsterdam naar Utrecht met de trein","I ... from Amsterdam to Utrecht by train"
170,gast,guest,noun,hospitality,"Een welkome gast krijgt koffie en thee","A welcome ... gets coffee and tea"
171,geboren,born,adjective,life,"Ik ben in 1990 geboren in Amsterdam","I was ... in 1990 in Amsterdam"
172,geluk,luck,noun,fortune,"Veel geluk!","Good ...!"
173,gemeen,mean,adjective,personality,"Het is gemeen om anderen te pesten","It is ... to bully others"
174,generatie,generation,noun,age,"Een nieuwe generatie is de volgende leeftijdsgroep","A new ... is the next age group"
175,gerecht,dish,noun,food,"Een lekker gerecht met vis","A tasty dish with fish"
176,getallen,numbers,noun,mathematics,"Getallen van een tot tien","Numbers from one to ten"
177,geven,to give,verb,transfer,"Kun je me dat boek geven alsjeblieft?","Can you ... me that book please?"
178,gevoel,feeling,noun,emotion,"Ik heb een goed gevoel over deze beslissing","I have a good ... about this decision"
179,gewoon,normal,adjective,ordinary,"Een gewone dag","A normal day"
180,gezond,healthy,adjective,health,"Fruit is gezond","Fruit is healthy"
181,glas,glass,noun,objects,"Ik drink water uit een glas op tafel","I drink water from a ... on the table"
182,glas,glass,noun,material,"Een raam van glas","A window of ..."
183,goed,good,adjective,quality,"Dat is een goed idee","That is a ... idea"
184,goederen,goods,noun,commerce,"De winkel verkoopt goederen en producten","The store sells ... and products"
185,goedkoop,cheap,adjective,price,"Deze broek is goedkoop","These pants are cheap"
186,gouden,golden,adjective,color,"Een gouden ring is van het edelmetaal goud","A ... ring is made of the precious metal gold"
187,gras,grass,noun,nature,"Koeien eten gras op de weide","Cows eat ... in the meadow"
188,groeien,to grow,verb,development,"Planten groeien snel met water en zonlicht","Plants ... fast with water and sunlight"
189,groen,green,adjective,color,"Gras en bladeren zijn groen van kleur","Grass and leaves are ... in color"
190,groep,group,noun,collection,"Een groep mensen staat bij de deur","A ... of people stands at the door"
191,haar,her,pronoun,grammar,"Dat is haar tas","That is ... bag"
192,haar,hair,noun,body,"Zij heeft lang haar","She has long ..."
193,half,half,adjective,quantity,"Een half uur is 30 minuten lang","A ... hour is 30 minutes long"
194,hallo,hello,interjection,greeting,"Hallo, hoe gaat het met je?","..., how are you?"
195,hand,hand,noun,body,"Geef me je hand om te schudden","Give me your ... to shake"
196,hard,hard,adjective,texture,"De steen is hard en niet zacht","The stone is ... and not soft"
197,hard,loud,adjective,sound,"De muziek is te hard, zet zachter","The music is too ..., turn it down"
198,hard,fast,adverb,speed,"Hij rijdt hard","He drives ..."
199,hart,heart,noun,body,"Mijn hart klopt snel in mijn borst","My ... beats fast in my chest"
200,hebben,to have,verb,possession,"Ik heb een nieuwe fiets","I ... a new bicycle"
201,heet,hot,adjective,temperature,"Het is heet vandaag, de zon brandt","It is ... today, the sun burns"
202,helft,half,noun,quantity,"De helft is 50 procent of de helft","The ... is 50 percent or half"
203,helpen,to help,verb,assistance,"Kan ik je helpen met je probleem?","Can I ... you with your problem?"
204,hem,him,pronoun,grammar,"Ik zie hem daar staan bij de deur","I see ... standing there by the door"
205,herfst,autumn,noun,season,"In de herfst vallen de bladeren","In autumn the leaves fall"
206,het,it,pronoun,grammar,"Het regent niet, het is mooi weer vandaag","... doesn't rain, ... is beautiful weather today"
207,het,the,article,grammar,"Het boek ligt op de tafel","... book lies on the table"
208,hier,here,adverb,location,"Kom hier, naast mij zitten","Come ..., sit next to me"
209,hij,he,pronoun,grammar,"Hij werkt in Amsterdam","... works in Amsterdam"
210,historisch,historical,adjective,history,"De oorlog was een historisch belangrijk moment","The war was a ... important moment"
211,hoe,how,adverb,question,"Hoe heet je?","... is your name?"
212,hoed,hat,noun,clothing,"Ik draag een hoed op mijn hoofd tegen de zon","I wear a ... on my head against the sun"
213,hoewel,although,conjunction,concession,"Ik ga wandelen hoewel het koud is","I go walking ... it is cold"
214,hoi,hi,interjection,greeting,"Hoi, leuk je te zien!","..., nice to see you!"
215,holland,Holland,noun,geography,"Ik woon in Holland","I live in ..."
216,honger,hunger,noun,sensation,"Ik heb honger","I am ..."
217,hoop,hope,noun,emotion,"Ik heb hoop dat alles goed komt","I have ... that everything will be fine"
218,hoop,pile,noun,quantity,"Een hoop zand ligt op de grond","A ... of sand lies on the ground"
219,hoor,you know,particle,reassurance,"Dat is geen probleem hoor","That's no problem ..."
220,hopen,to hope,verb,desire,"Ik hoop dat je komt","I ... that you come"
221,horen,to hear,verb,perception,"Ik hoor muziek","I ... music"
222,hotel,hotel,noun,accommodation,"We slapen in een hotel","We sleep in a ..."
223,houden,to hold,verb,action,"Ik hou van chocolade","I ... chocolate"
224,huis,house,noun,building,"Ik woon in een huis met een tuin","I live in a ... with a garden"
225,hulp,help,noun,assistance,"Ik kan dit niet alleen, ik heb hulp nodig","I can't do this alone, I need ..."
226,hut,hut,noun,building,"Een hut is een klein houten huisje","A ... is a small wooden house"
227,hé,hey,interjection,attention,"Hé, kijk hier!","..., look here!"
228,ideaal,ideal,adjective,perfection,"Dit is de ideale oplossing voor het probleem","This is the ... solution for the problem"
229,idee,idea,noun,thought,"Ik heb een goed idee om het probleem op te lossen","I have a good ... to solve the problem"
230,ieder,every,adjective,quantity,"Ieder kind krijgt een cadeau","Every child gets a present"
231,iedere,each,adjective,quantity,"Iedere dag ga ik wandelen","Each day I go walking"
232,ik,I,pronoun,grammar,"Ik hou van muziek","... love music"
233,in,in,preposition,location,"De sleutel zit in de tas, niet erop","The key is ... the bag, not on it"
234,individu,individual,noun,person,"Elk individu is uniek","Each ... is unique"
235,individueel,individual,adjective,singular,"Een individueel probleem","An ... problem"
236,informatie,information,noun,data,"Ik heb informatie","I have ..."
237,initiatief,initiative,noun,action,"Hij neemt het initiatief om te beginnen","He takes the ... to start"
238,instrument,instrument,noun,tool,"Een muzikaal instrument","A musical ..."
239,interessant,interesting,adjective,quality,"Dit boek is interessant om te lezen","This book is ... to read"
240,interesseren,to interest,verb,curiosity,"Dit onderwerp interesseert me, ik wil meer weten","This topic ... me, I want to know more"
241,internationaal,international,adjective,global,"Een internationaal bedrijf","An ... company"
242,invloed,influence,noun,impact,"Hij heeft veel invloed","He has much ..."
243,ja,yes,interjection,response,"Wil je koffie? Ja, graag","Do you want coffee? ..., please"
244,jaar,year,noun,time,"Een jaar heeft 12 maanden","A ... has 12 months"
245,je,you,pronoun,grammar,"Hoe gaat het met je vandaag?","How are ... doing today?"
246,jezelf,yourself,pronoun,reflexive,"Ken jezelf","Know ..."
247,jij,you,pronoun,grammar,"Wat doe jij vandaag, werk of studie?","What do ... do today, work or study?"
248,jong,young,adjective,age,"Hij is nog jong, pas twintig jaar oud","He is still ..., only twenty years old"
249,jongeman,young man,noun,people,"Een aardige jongeman","A nice ..."
250,jou,you,pronoun,grammar,"Ik zie jou daar staan bij het raam","I see ... standing there by the window"
251,jullie,you,pronoun,plural,"Waar zijn jullie?","Where are ...?"
252,juni,June,noun,time,"In juni ga ik weg","In ... I will leave"
253,kaas,cheese,noun,food,"Kaas wordt gemaakt van melk","... is made from milk"
254,kalm,calm,adjective,mood,"Blijf kalm","Stay ..."
255,kamp,camp,noun,location,"Kinderen slapen in tenten op een zomerkamp","Children sleep in tents at a summer ..."
256,karakter,character,noun,personality,"Iemand met een sterk karakter geeft niet snel op","Someone with a strong ... doesn't give up easily"
257,kat,cat,noun,animals,"De kat zegt miauw en de hond blaft","The ... says meow and the dog barks"
258,keer,time,noun,occurrence,"Dit is de eerste keer","This is the first time"
259,kennis,knowledge,noun,education,"Hij heeft veel kennis","He has much knowledge"
260,kijken,to look,verb,perception,"Kijk naar de lucht","Look at the sky"
261,kilometer,kilometer,noun,measurement,"Een kilometer is 1000 meter afstand","A ... is 1000 meters distance"
262,kind,child,noun,family,"Een kind is jonger dan een volwassene","A ... is younger than an adult"
263,klagen,to complain,verb,communication,"Hij klaagt over het weer","He complains about the weather"
264,klant,client,noun,business,"De winkel helpt elke klant vriendelijk","The store helps every ... friendly"
265,klas,class,noun,education,"Mijn klas heeft 25 leerlingen en een leraar","My ... has 25 students and a teacher"
266,klassiek,classical,adjective,style,"Mozart maakte klassieke muziek","Mozart made ... music"
267,kleur,color,noun,appearance,"Rood, blauw en groen zijn kleuren","Red, blue and green are ..."
268,klimmen,to climb,verb,movement,"Ik klim in de boom","I ... the tree"
269,knie,knee,noun,body,"Mijn knie doet pijn","My ... hurts"
270,koel,cool,adjective,temperature,"Het is koel buiten","It is ... outside"
271,koffie,coffee,noun,drinks,"'s Ochtends drink ik koffie met melk","In the morning I drink ... with milk"
272,komen,to come,verb,movement,"Kun je morgen komen?","Can you ... tomorrow?"
273,koning,king,noun,royalty,"De koning en koningin regeren het land","The ... and queen rule the country"
274,kosten,to cost,verb,price,"Hoeveel kost dit?","How much does this ...?"
275,kosten,costs,noun,expenses,"De kosten zijn hoog","The ... are high"
276,koud,cold,adjective,temperature,"Het is koud buiten","It is ... outside"
277,kruis,cross,noun,symbol,"Een houten kruis","A wooden ..."
278,kunnen,can,verb,ability,"Ik kan Nederlands spreken","I ... speak Dutch"
279,kust,coast,noun,geography,"Aan de kust","At the ..."
280,kwaliteit,quality,noun,standard,"Goede kwaliteit","Good ..."
281,laat,late,adjective,time,"Het is al negen uur, ik ben te laat","It's already nine, I am too ..."
282,laatste,last,adjective,order,"Dit is de laatste pagina van het boek","This is the ... page of the book"
283,lachen,to laugh,verb,emotion,"Ik moet lachen","I have to ..."
284,landschap,landscape,noun,scenery,"Een mooi landschap","A beautiful ..."
285,lang,long,adjective,dimension,"Dat is een lange weg","That is a ... road"
286,lang,long,adverb,duration,"Hoe lang duurt het?","How long does it take?"
287,langs,along,preposition,direction,"Loop langs de rivier","Walk ... the river"
288,laten,to let,verb,permission,"Laat me zien","... me see"
289,laten,to leave,verb,abandonment,"Laat me met rust","... me alone"
290,later,later,adverb,time,"Tot later!","See you ...!"
291,leiden,to lead,verb,guidance,"Hij leidt het team","He ... the team"
292,leider,leader,noun,authority,"De leider van de groep neemt beslissingen","The ... of the group makes decisions"
293,leiding,leadership,noun,guidance,"Hij heeft de leiding en geeft instructies","He has the ... and gives instructions"
294,lente,spring,noun,season,"In de lente bloeien de bloemen","In spring the flowers bloom"
295,leren,to learn,verb,education,"Ik leer Nederlands","I ... Dutch"
296,leren,leather,noun,material,"Schoenen van leren","Shoes made of ..."
297,leven,life,noun,existence,"Het leven is mooi","... is beautiful"
298,leven,to live,verb,existence,"Ik leef in Amsterdam","I ... in Amsterdam"
299,leveren,to deliver,verb,service,"We leveren morgen","We ... tomorrow"
300,licht,light,noun,nature,"Doe het licht aan","Turn the ... on"
301,licht,light,adjective,weight,"Deze tas is licht","This bag is ..."
302,licht,light,adjective,color,"Een lichte kleur als roze of geel","A light color like pink or yellow"
303,liefde,love,noun,emotion,"Liefde is mooi","... is beautiful"
304,liever,rather,adverb,preference,"Ik drink liever thee","I rather drink tea"
305,liggen,to lie,verb,position,"Ik lig op de bank","I lie on the couch"
306,lijst,list,noun,organization,"Ik maak een boodschappenlijst voor de winkel","I make a shopping ... for the store"
307,lip,lip,noun,body,"Mijn lip is onder mijn neus en boven mijn kin","My ... is below my nose and above my chin"
308,literatuur,literature,noun,arts,"Literatuur is de kunst van geschreven boeken","... is the art of written books"
309,logeren,to stay over,verb,accommodation,"Ik logeer bij mijn vriend","I stay over at my friend s"
310,logisch,logical,adjective,reasoning,"Een logische conclusie volgt uit de feiten","A ... conclusion follows from the facts"
311,lopen,to walk,verb,movement,"Ik loop naar school","I walk to school"
312,los,loose,adjective,state,"De knop is los en zit niet vast","The button is ... and not attached"
313,luisteren,to listen,verb,perception,"Luister naar me","... to me"
314,luitenant,lieutenant,noun,military,"De luitenant is een militaire officier","The ... is a military officer"
315,maaltijd,meal,noun,food,"Ontbijt, lunch en diner zijn de drie maaltijden","Breakfast, lunch and dinner are the three ..."
316,maan,moon,noun,astronomy,"De maan schijnt 's nachts aan de hemel","The ... shines at night in the sky"
317,maand,month,noun,time,"Volgende maand ga ik op vakantie","Next ... I will go on vacation"
318,maar,but,conjunction,contrast,"Ik wil komen maar ik kan niet","I want to come ... I cannot"
319,maar,just,particle,emphasis,"Doe maar rustig aan","... take it easy"
320,machine,machine,noun,equipment,"De wasmachine wast kleding automatisch","The washing ... washes clothes automatically"
321,maken,to make,verb,creation,"Ik maak een taart in de oven","I ... a cake in the oven"
322,mama,mom,noun,family,"Mijn mama kookt het avondeten voor ons","My ... cooks the dinner for us"
323,man,man,noun,people,"Die man is mijn vader","That ... is my father"
324,markt,market,noun,commerce,"Op de markt koop ik verse groenten","At the ... I buy fresh vegetables"
325,materiaal,material,noun,substance,"Hout en staal zijn sterke materialen","Wood and steel are strong ..."
326,me,me,pronoun,grammar,"Geef me het boek van de plank","Give ... the book from the shelf"
327,medisch,medical,adjective,healthcare,"Medisch advies","... advice"
328,meer,more,adverb,quantity,"Ik wil meer water","I want ... water"
329,meer,lake,noun,nature,"Een meer is een groot gebied met zoet water","A ... is a large area with fresh water"
330,meestal,usually,adverb,frequency,"Ik ga meestal lopend","I ... go walking"
331,meester,master,noun,expertise,"De meester is een leraar op de basisschool","The ... is a teacher at elementary school"
332,menen,to mean,verb,intention,"Wat meen je?","What do you ...?"
333,met,with,preposition,accompaniment,"Ik ga met jou naar de winkel","I go ... you to the store"
334,meter,meter,noun,measurement,"Een meter is 100 centimeter lang","A ... is 100 centimeters long"
335,methode,method,noun,approach,"Een goede methode is een effectieve manier","A good ... is an effective way"
336,mezelf,myself,pronoun,reflexive,"Ik zie mezelf in de spiegel","I see ... in the mirror"
